Country Code,Region,IncomeGroup,SpecialNotes,TableName,...6
ARM,Europe & Central Asia,Upper middle income,NA,Armenia,NA
ASM,East Asia & Pacific,High income,NA,American Samoa,NA
ATG,Latin America & Caribbean,High income,NA,Antigua & Barbuda,NA
AUS,East Asia & Pacific,High income,NA,Australia,NA
AUT,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Austria,NA
AZE,Europe & Central Asia,Upper middle income,NA,Azerbaijan,NA
BDI,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2023. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Burundi,NA
BEL,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Belgium,NA
BEN,Sub-Saharan Africa,Lower middle income,NA,Benin,NA
BFA,Sub-Saharan Africa,Low income,NA,Burkina Faso,NA
BGD,South Asia,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",Bangladesh,NA
BGR,Europe & Central Asia,High income,NA,Bulgaria,NA
BHR,Middle East & North Africa,High income,NA,Bahrain,NA
BHS,Latin America & Caribbean,High income,NA,Bahamas,NA
BIH,Europe & Central Asia,Upper middle income,NA,Bosnia & Herzegovina,NA
BLR,Europe & Central Asia,Upper middle income,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",Belarus,NA
BLZ,Latin America & Caribbean,Upper middle income,NA,Belize,NA
BMU,North America,High income,NA,Bermuda,NA
BOL,Latin America & Caribbean,Lower middle income,NA,Bolivia,NA
BRA,Latin America & Caribbean,Upper middle income,NA,Brazil,NA
BRB,Latin America & Caribbean,High income,NA,Barbados,NA
BRN,East Asia & Pacific,High income,NA,Brunei,NA
BTN,South Asia,Lower middle income,NA,Bhutan,NA
BWA,Sub-Saharan Africa,Upper middle income,NA,Botswana,NA
CAF,Sub-Saharan Africa,Low income,NA,Central African Republic,NA
CAN,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.,Canada,NA
CEB,NA,NA,Central Europe and the Baltics aggregate.,Central Europe & Baltics,NA
CHE,Europe & Central Asia,High income,NA,Switzerland,NA
CHI,Europe & Central Asia,High income,NA,Channel Islands,NA
CHL,Latin America & Caribbean,High income,NA,Chile,NA
CHN,East Asia & Pacific,Upper middle income,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong, and on 20 December 1999, China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1978-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",China,NA
CIV,Sub-Saharan Africa,Lower middle income,NA,Ivory Coast,NA
CMR,Sub-Saharan Africa,Lower middle income,NA,Cameroon,NA
COD,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1999-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Congo, Dem. Rep.",NA
COG,Sub-Saharan Africa,Lower middle income,NA,"Congo, Rep.",NA
COL,Latin America & Caribbean,Upper middle income,NA,Colombia,NA
COM,Sub-Saharan Africa,Lower middle income,NA,Comoros,NA
CPV,Sub-Saharan Africa,Lower middle income,NA,Cape Verde,NA
CRI,Latin America & Caribbean,Upper middle income,NA,Costa Rica,NA
CSS,NA,NA,Caribbean small states aggregate.,Caribbean small states,NA
CUB,Latin America & Caribbean,Upper middle income,NA,Cuba,NA
CUW,Latin America & Caribbean,High income,NA,Curaçao,NA
CYM,Latin America & Caribbean,High income,NA,Cayman Islands,NA
CYP,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Cyprus,NA
CZE,Europe & Central Asia,High income,NA,Czechia,NA
DEU,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 Deutsche Mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Germany,NA
DJI,Middle East & North Africa,Lower middle income,NA,Djibouti,NA
DMA,Latin America & Caribbean,Upper middle income,NA,Dominica,NA
DNK,Europe & Central Asia,High income,NA,Denmark,NA
DOM,Latin America & Caribbean,Upper middle income,NA,Dominican Republic,NA
DZA,Middle East & North Africa,Upper middle income,NA,Algeria,NA
EAP,NA,NA,NA,East Asia & Pacific,NA
EAR,NA,NA,Early-dividend countries are mostly lower-middle-income countries further along the fertility transition. Fertility rates have fallen below four births per woman and the working-age share of the population is likely rising considerably.,Early-demographic dividend,NA
EAS,NA,NA,East Asia and Pacific regional aggregate (includes all income levels).,East Asia & Pacific,NA
ECA,NA,NA,NA,Europe & Central Asia,NA
ECS,NA,NA,Europe and Central Asia regional aggregate (includes all income levels).,Europe & Central Asia,NA
ECU,Latin America & Caribbean,Upper middle income,NA,Ecuador,NA
EGY,Middle East & North Africa,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30) for the years 1980 and after. The data from 1973 to 1979 refer to the calendar year data. Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1965-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.

The national accounts data for Egypt has been updated to reflect local constant prices in the year 2022, moving from the previous reference of 2017.",Egypt,NA
EMU,NA,NA,Euro area aggregate.,Euro area,NA
ERI,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1992-1997. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Eritrea,NA
ESP,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Spain,NA
EST,Europe & Central Asia,High income,"The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Estonia,NA
ETH,Sub-Saharan Africa,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 7). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",Ethiopia,NA
EUU,NA,NA,European Union aggregate.,European Union,NA
FCS,NA,NA,"Fragile and conflict-affected situations aggregate as of FY24 (July 1, 2022-June 30, 2024). Countries are distinguished based on the nature and severity of issues they face. The classification uses the following categories: - Countries with high levels of institutional and social fragility, identified based on publicly available indicators that measure the quality of policy and institutions and manifestations of fragility. - Countries affected by violent conflict, identified based on a threshold number of conflict-related deaths relative to the population. This category includes two sub-categories based on the intensity of violence: countries in high-intensity conflict and countries in medium-intensity conflict. For more information, please visit https://www.worldbank.org/en/topic/fragilityconflictviolence/brief/harmonized-list-of-fragile-situations.",Fragile & conflict affected situations,NA
FIN,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Finland,NA
FJI,East Asia & Pacific,Upper middle income,NA,Fiji,NA
FRA,Europe & Central Asia,High income,"The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",France,NA
FRO,Europe & Central Asia,High income,NA,Faroe Islands,NA
FSM,East Asia & Pacific,Lower middle income,Fiscal year ends on September 30; reporting period for national accounts data: FY. The source for national accounts data is the Pacific and Virgin Islands Training Initiative.,Micronesia,NA
GAB,Sub-Saharan Africa,Upper middle income,NA,Gabon,NA
GBR,Europe & Central Asia,High income,NA,United Kingdom,NA
GEO,Europe & Central Asia,Upper middle income,"Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas.",Georgia,NA
GHA,Sub-Saharan Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1974-1987. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Ghana,NA
GIB,Europe & Central Asia,High income,The DEC conversion is not reported when national accounts data are unavailable.,Gibraltar,NA
GIN,Sub-Saharan Africa,Lower middle income,NA,Guinea,NA
GMB,Sub-Saharan Africa,Low income,NA,Gambia,NA
GNB,Sub-Saharan Africa,Low income,NA,Guinea-Bissau,NA
GNQ,Sub-Saharan Africa,Upper middle income,NA,Equatorial Guinea,NA
GRC,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Greece,NA
GRD,Latin America & Caribbean,Upper middle income,NA,Grenada,NA
GRL,Europe & Central Asia,High income,NA,Greenland,NA
GTM,Latin America & Caribbean,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1985-2003. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Guatemala,NA
GUM,East Asia & Pacific,High income,NA,Guam,NA
GUY,Latin America & Caribbean,High income,NA,Guyana,NA
HIC,NA,NA,"High income group aggregate. High-income economies are those in which 2023 Atlas GNI per capita was more than $14,005.",High income,NA
HKG,East Asia & Pacific,High income,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.",Hong Kong ,NA
HND,Latin America & Caribbean,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-1989. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Honduras,NA
HPC,NA,NA,"The Heavily Indebted Poor Countries (HIPC) refer to countries that participated in the HIPC Initiative, launched in 1996 by the IMF and World Bank to reduce external debt burdens of the most heavily indebted poor countries at that time to sustainable levels. To date, the majority of the countries completed the program, receiving 76 billion in debt-service relief over time. For more details, visit https://www.imf.org/en/About/Factsheets/Sheets/2016/08/01/16/11/Debt-Relief-Under-the-Heavily-Indebted-Poor-Countries-Initiative.
Data are aggregates for HIPC.",Heavily indebted poor countries,NA
HRV,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2023: 1 euro = 7.53450 Croatian kuna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Croatia,NA
HTI,Latin America & Caribbean,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: September 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",Haiti,NA
HUN,Europe & Central Asia,High income,NA,Hungary,NA
IBD,NA,NA,IBRD only group aggregate.,IBRD only,NA
IBT,NA,NA,"IDA and IBRD total group aggregate (includes IDA only, IDA blend, and IBRD only).",IDA & IBRD total,NA
IDA,NA,NA,IDA total group aggregate (includes IDA only and IDA blend).,IDA total,NA
IDB,NA,NA,IDA blend group aggregate.,IDA blend,NA
IDN,East Asia & Pacific,Upper middle income,Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted.,Indonesia,NA
IDX,NA,NA,IDA only group aggregate.,IDA only,NA
IMN,Europe & Central Asia,High income,"Classification for years after 2012 was adjusted and figures were re-estimated by the World Bank, based on the detailed data published by the Cabinet Office, and are not consistent with data for 2011 and before.",Isle of Man,NA
IND,South Asia,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 31). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",India,NA
IRL,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Ireland,NA
IRN,Middle East & North Africa,Upper middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20).  

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1972-2023. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Iran,NA
IRQ,Middle East & North Africa,Upper middle income,NA,Iraq,NA
ISL,Europe & Central Asia,High income,NA,Iceland,NA
ISR,Middle East & North Africa,High income,NA,Israel,NA
ITA,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Italy,NA
JAM,Latin America & Caribbean,Upper middle income,NA,Jamaica,NA
JOR,Middle East & North Africa,Lower middle income,NA,Jordan,NA
JPN,East Asia & Pacific,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.,Japan,NA
KAZ,Europe & Central Asia,Upper middle income,NA,Kazakhstan,NA
KEN,Sub-Saharan Africa,Lower middle income,Fiscal year end: June 30; reporting period for national accounts data: CY.,Kenya,NA
KGZ,Europe & Central Asia,Lower middle income,NA,Kyrgyzstan,NA
KHM,East Asia & Pacific,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1963-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Cambodia,NA
KIR,East Asia & Pacific,Lower middle income,NA,Kiribati,NA
KNA,Latin America & Caribbean,High income,NA,St. Kitts & Nevis,NA
KOR,East Asia & Pacific,High income,NA,South Korea,NA
KWT,Middle East & North Africa,High income,NA,Kuwait,NA
LAC,NA,NA,NA,Latin America & Caribbean,NA
LAO,East Asia & Pacific,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Laos,NA
LBN,Middle East & North Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1984-2023. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Lebanon,NA
LBR,Sub-Saharan Africa,Low income,National accounts data are provided in the US dollar.,Liberia,NA
LBY,Middle East & North Africa,Upper middle income,NA,Libya,NA
LCA,Latin America & Caribbean,Upper middle income,NA,St. Lucia,NA
LCN,NA,NA,NA,Latin America & Caribbean,NA
LDC,NA,NA,NA,Least developed countries: UN classification,NA
LIC,NA,NA,"Low income group aggregate. Low-income economies are those in which 2023 Atlas GNI per capita was $1,145 or less.",Low income,NA
LIE,Europe & Central Asia,High income,NA,Liechtenstein,NA
LKA,South Asia,Lower middle income,NA,Sri Lanka,NA
LMC,NA,NA,"Lower middle income group aggregate. Lower-middle-income economies are those in which Atlas 2023 GNI per capita was between $1,146 and $4,515.",Lower middle income,NA
LMY,NA,NA,"Low and middle-income group aggregate. Low and middle-income economies are those in which Atlas 2023 GNI per capita was less than $14,005.",Low & middle income,NA
LSO,Sub-Saharan Africa,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: CY.,Lesotho,NA
LTE,NA,NA,Late-dividend countries are mostly upper middle-income countries. Fertility rates are typically above replacement levels of 2.1 births per woman but continue to decline with shrinking working-age shares and rapid aging.,Late-demographic dividend,NA
LTU,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Lithuania,NA
LUX,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Luxembourg,NA
LVA,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.",Latvia,NA
MAC,East Asia & Pacific,High income,"On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",Macao ,NA
MAF,Latin America & Caribbean,High income,NA,St. Martin,NA
MAR,Middle East & North Africa,Lower middle income,NA,Morocco,NA
MCO,Europe & Central Asia,High income,NA,Monaco,NA
MDA,Europe & Central Asia,Upper middle income,"Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova.",Moldova,NA
MDG,Sub-Saharan Africa,Low income,NA,Madagascar,NA
MDV,South Asia,Upper middle income,NA,Maldives,NA
MEA,NA,NA,Middle East and North Africa regional aggregate (includes all income levels).,Middle East & North Africa,NA
MEX,Latin America & Caribbean,Upper middle income,NA,Mexico,NA
MHL,East Asia & Pacific,Upper middle income,Fiscal year ends on September 30; reporting period for national accounts data: FY.,Marshall Islands,NA
MIC,NA,NA,"Middle income group aggregate. Middle-income economies are those in which 2023 Atlas GNI per capita was between $1,146 and $14,005.",Middle income,NA
MKD,Europe & Central Asia,Upper middle income,NA,North Macedonia,NA
MLI,Sub-Saharan Africa,Low income,NA,Mali,NA
MLT,Middle East & North Africa,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. National accounts data source from 1995 to 2015 is Eurostat; prior to 1995 is UN.",Malta,NA
MMR,East Asia & Pacific,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: September 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 	  

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2014. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Myanmar,NA
MNA,NA,NA,NA,Middle East & North Africa,NA
MNE,Europe & Central Asia,Upper middle income,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.",Montenegro,NA
MNG,East Asia & Pacific,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1991-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Mongolia,NA
MNP,East Asia & Pacific,High income,NA,Northern Mariana Islands,NA
MOZ,Sub-Saharan Africa,Low income,NA,Mozambique,NA
MRT,Sub-Saharan Africa,Lower middle income,National account data were adjusted to reflect the new banknote (1 new ouguiya = 10 old ouguiya),Mauritania,NA
MUS,Sub-Saharan Africa,Upper middle income,NA,Mauritius,NA
MWI,Sub-Saharan Africa,Low income,NA,Malawi,NA
MYS,East Asia & Pacific,Upper middle income,NA,Malaysia,NA
NAC,NA,NA,North America regional aggregate. There are no economies in North America classified as low or middle income.,North America,NA
NAM,Sub-Saharan Africa,Upper middle income,Fiscal year end: March 31; reporting period for national accounts data: CY.,Namibia,NA
NCL,East Asia & Pacific,High income,NA,New Caledonia,NA
NER,Sub-Saharan Africa,Low income,NA,Niger,NA
